Bubble,25%,1508922702615,1508922703081,466,688184,2087480,1399296
Merge,25%,1508922703083,1508922703112,29,689472,3368048,2678576
Quick,25%,1508922703115,1508922703145,30,689184,2088480,1399296
Selection,25%,1508922703146,1508922703408,262,689240,2088536,1399296
Insertion,25%,1508922703408,1508922703449,41,689304,2088600,1399296
Bubble,25%,1508922704293,1508922704794,501,689584,2090936,1401352
Merge,25%,1508922704794,1508922704805,11,689368,3971456,3282088
Quick,25%,1508922704805,1508922704826,21,689368,2390384,1701016
Selection,25%,1508922704826,1508922705085,259,689368,2390384,1701016
Insertion,25%,1508922705085,1508922705119,34,689368,2390384,1701016
Bubble,25%,1508922705503,1508922705834,331,690352,2383144,1692792
Merge,25%,1508922705835,1508922705844,9,690136,4751968,4061832
Quick,25%,1508922705845,1508922705861,16,690136,2773552,2083416
Selection,25%,1508922705862,1508922706113,251,690136,2773552,2083416
Insertion,25%,1508922706113,1508922706156,43,690136,2773552,2083416
Bubble,25%,1508922707064,1508922707396,332,690352,1205504,515152
Merge,25%,1508922707396,1508922707411,15,690136,2966200,2276064
Quick,25%,1508922707411,1508922707432,21,690136,1205288,515152
Selection,25%,1508922707433,1508922707657,224,690136,1205288,515152
Insertion,25%,1508922707657,1508922707701,44,690136,1205288,515152
Bubble,25%,1508922708614,1508922708945,331,690584,915392,224808
Merge,25%,1508922708945,1508922708954,9,690368,2978952,2288584
Quick,25%,1508922708954,1508922708977,23,690368,915176,224808
Selection,25%,1508922708977,1508922709224,247,690368,915176,224808
Insertion,25%,1508922709224,1508922709265,41,690368,915176,224808
Bubble,50%,1508922709777,1508922710003,226,690584,1047112,356528
Merge,50%,1508922710003,1508922710019,16,690416,2973480,2283064
Quick,50%,1508922710019,1508922710067,48,690536,1047064,356528
Selection,50%,1508922710067,1508922710218,151,690416,1046944,356528
Insertion,50%,1508922710218,1508922710242,24,690416,1046944,356528
Bubble,50%,1508922710760,1508922710989,229,690720,988888,298168
Merge,50%,1508922710989,1508922711006,17,690504,2966160,2275656
Quick,50%,1508922711006,1508922711061,55,690504,988672,298168
Selection,50%,1508922711061,1508922711198,137,690504,988672,298168
Insertion,50%,1508922711198,1508922711217,19,690504,988672,298168
Bubble,50%,1508922711716,1508922711960,244,690720,998128,307408
Merge,50%,1508922711961,1508922711972,11,690504,3002232,2311728
Quick,50%,1508922711973,1508922712035,62,690504,997912,307408
Selection,50%,1508922712036,1508922712179,143,690504,997912,307408
Insertion,50%,1508922712179,1508922712201,22,690504,997912,307408
Bubble,50%,1508922712691,1508922712959,268,690720,1018800,328080
Merge,50%,1508922712959,1508922712970,11,690504,3000720,2310216
Quick,50%,1508922712970,1508922713019,49,690504,997776,307272
Selection,50%,1508922713019,1508922713150,131,690504,1018584,328080
Insertion,50%,1508922713150,1508922713174,24,690504,1018584,328080
Bubble,50%,1508922713751,1508922714005,254,690720,956472,265752
Merge,50%,1508922714007,1508922714020,13,690504,3018848,2328344
Quick,50%,1508922714020,1508922714066,46,690504,956256,265752
Selection,50%,1508922714066,1508922714196,130,690504,956256,265752
Insertion,50%,1508922714196,1508922714215,19,690504,956256,265752
Bubble,Reversed,1508922714696,1508922714884,188,690720,1029352,338632
Merge,Reversed,1508922714884,1508922714898,14,690560,2974408,2283848
Quick,Reversed,1508922714899,1508922715013,114,690560,1029192,338632
Selection,Reversed,1508922715014,1508922715128,114,690560,1029192,338632
Insertion,Reversed,1508922715128,1508922715209,81,690560,1029192,338632
Bubble,Reversed,1508922715759,1508922715951,192,690776,966112,275336
Merge,Reversed,1508922715952,1508922715966,14,690560,2971376,2280816
Quick,Reversed,1508922715966,1508922716085,119,690560,965896,275336
Selection,Reversed,1508922716085,1508922716203,118,690560,965896,275336
Insertion,Reversed,1508922716203,1508922716270,67,690560,965896,275336
Bubble,Reversed,1508922716779,1508922716973,194,690776,1029416,338640
Merge,Reversed,1508922716973,1508922716984,11,690560,2974488,2283928
Quick,Reversed,1508922716985,1508922717113,128,690560,1029200,338640
Selection,Reversed,1508922717114,1508922717226,112,690560,1029200,338640
Insertion,Reversed,1508922717227,1508922717295,68,690560,1029200,338640
Bubble,Reversed,1508922717787,1508922717973,186,690776,1018896,328120
Merge,Reversed,1508922717974,1508922717981,7,690560,3001080,2310520
Quick,Reversed,1508922717982,1508922718106,124,690560,997864,307304
Selection,Reversed,1508922718107,1508922718210,103,690560,1018680,328120
Insertion,Reversed,1508922718210,1508922718283,73,690560,1018680,328120
Bubble,Reversed,1508922718701,1508922718908,207,690776,1017240,326464
Merge,Reversed,1508922718909,1508922718920,11,690560,3101648,2411088
Quick,Reversed,1508922718921,1508922719043,122,690560,1006704,316144
Selection,Reversed,1508922719044,1508922719158,114,690728,1037832,347104
Insertion,Reversed,1508922719158,1508922719230,72,690728,1037832,347104
Bubble,25%,1510534788286,1510534789034,748,688544,2088952,1400408
Merge,25%,1510534789037,1510534789058,21,689832,3370632,2680800
Quick,25%,1510534789060,1510534789131,71,689544,2089952,1400408
Selection,25%,1510534789134,1510534789571,437,689600,2090008,1400408
Insertion,25%,1510534789573,1510534789643,70,689664,2090072,1400408
Bubble,25%,1510534791613,1510534798586,6973,690112,2091928,1401816
Merge,25%,1510534798588,1510534798639,51,689896,3952624,3262728
Quick,25%,1510534798640,1510534798752,112,690016,2381264,1691248
Selection,25%,1510534798754,1510534799390,636,689896,2381144,1691248
Insertion,25%,1510534799393,1510534799480,87,689896,2381144,1691248
Bubble,25%,1510534799931,1510534801130,1199,691000,2375352,1684352
Merge,25%,1510534801131,1510534801155,24,690664,4736528,4045864
Quick,25%,1510534801156,1510534801210,54,690784,2766216,2075432
Selection,25%,1510534801211,1510534801495,284,690664,2766096,2075432
Insertion,25%,1510534801496,1510534801641,145,690664,2766096,2075432
Bubble,25%,1510534804507,1510534805311,804,690880,1179976,489096
Merge,25%,1510534805312,1510534805332,20,690664,3056576,2365912
Quick,25%,1510534805333,1510534805368,35,690664,1179760,489096
Selection,25%,1510534805368,1510534805748,380,690664,1179760,489096
Insertion,25%,1510534805749,1510534805827,78,690664,1179760,489096
Bubble,25%,1510534808256,1510534809434,1178,691112,915936,224824
Merge,25%,1510534809434,1510534809489,55,690896,2979656,2288760
Quick,25%,1510534809490,1510534809520,30,690896,915720,224824
Selection,25%,1510534809521,1510534809807,286,690896,915720,224824
Insertion,25%,1510534809808,1510534809874,66,690896,915720,224824
Bubble,50%,1510534811313,1510534817826,6513,691112,955952,264840
Merge,50%,1510534817826,1510534817844,18,690944,2976104,2285160
Quick,50%,1510534817845,1510534817980,135,690944,904056,213112
Selection,50%,1510534817980,1510534818363,383,690944,955784,264840
Insertion,50%,1510534818363,1510534818438,75,690944,955784,264840
Bubble,50%,1510534820645,1510534821309,664,691248,936008,244760
Merge,50%,1510534821309,1510534821323,14,691032,2993448,2302416
Quick,50%,1510534821323,1510534821421,98,691032,935792,244760
Selection,50%,1510534821423,1510534821636,213,691032,935792,244760
